tradedate,tradecode,tradename,windhy,mv,weight,tradestatus,changepctbefore,changepctafter
2025-06-16 00:00:00,600549.SH,厦门钨业,材料,333.86929920780005,2.16,剔除,2.335766423357666,-1.8286814244465988
2025-06-16 00:00:00,300769.SZ,德方纳米,材料,79.93764495900001,0.723,剔除,-1.2119113573407114,9.813577207175527
2025-06-16 00:00:00,688116.SH,天奈科技,材料,162.5420648496,,纳入,0.45289855072465635,-6.347062795408521
2025-06-16 00:00:00,601311.SH,骆驼股份,工业,98.1923300766,,纳入,-0.7117437722419906,0.0
2024-12-16 00:00:00,300068.SZ,南都电源,工业,165.0380243935,1.7,剔除,-5.022601707684582,-2.403846153846134
2024-12-16 00:00:00,688348.SH,昱能科技,工业,82.9051792675,0.371,剔除,-2.624816446402345,-0.8995215311004778
2024-12-16 00:00:00,688472.SH,阿特斯,工业,487.58233023279996,,纳入,-10.129163834126443,-7.822878228782293
2024-12-16 00:00:00,300432.SZ,富临精工,可选消费,194.5462904388,,纳入,2.7741935483870828,-0.19255455712452463
2024-12-16 00:00:00,300827.SZ,上能电气,工业,170.921617104,,纳入,-5.504769475357718,-1.587637595258251
2024-08-12 00:00:00,300376.SZ,ST易事特,工业,58.43883594759999,0.421,剔除,-5.63909774436091,-9.961685823754795
2024-06-17 00:00:00,600884.SH,杉杉股份,材料,234.17774822509998,1.43,剔除,9.73544973544973,-6.6534260178748745
2024-06-17 00:00:00,688116.SH,天奈科技,材料,89.79303075959999,1.145,剔除,0.6955177743431351,-0.40000000000001146
2024-06-17 00:00:00,603026.SH,石大胜华,材料,75.822588,0.765,剔除,4.322364751812602,-3.57044767920901
2024-06-17 00:00:00,688707.SH,振华新材,材料,55.101329401499996,0.362,剔除,2.8490028490028685,-5.714285714285705
2024-06-17 00:00:00,688275.SH,万润新能,材料,44.6711595946,0.184,剔除,-4.579741379310331,-8.16893581550432
2024-06-17 00:00:00,600995.SH,南网储能,公用事业,335.2610089445,,纳入,-1.4097744360902276,-5.628517823639767
2024-06-17 00:00:00,920185.BJ,贝特瑞,材料,217.4166881139,,纳入,8.892617449664431,-3.7383177570093573
2024-06-17 00:00:00,002126.SZ,银轮股份,可选消费,153.383758976,,纳入,5.546123372948486,-1.1494252873563204
2024-06-17 00:00:00,301487.SZ,盟固利,材料,137.0576218116,,纳入,4.96304118268216,-7.444503926254697
2024-06-17 00:00:00,300457.SZ,赢合科技,工业,129.58282361850002,,纳入,20.68965517241379,3.2741398446171077
2023-12-11 00:00:00,600110.SH,诺德股份,材料,100.5968178432,0.915,剔除,-0.8605851979345935,-3.4843205574912828
2023-12-11 00:00:00,300035.SZ,中科电气,材料,76.1646235545,0.904,剔除,-6.149732620320858,-3.8139534883720905
2023-12-11 00:00:00,688499.SH,利元亨,材料,47.361234380700004,0.225,剔除,-2.815829528158287,-5.695228322216527
2023-12-11 00:00:00,301358.SZ,湖南裕能,材料,258.22329687,,纳入,6.662496090084469,0.8457276173811756
2023-12-11 00:00:00,688348.SH,昱能科技,工业,125.5296,,纳入,-1.7789851897292097,-6.213885678727005
2023-12-11 00:00:00,688275.SH,万润新能,材料,75.02787363869999,,纳入,0.16837851490147937,2.2595990485898776
2023-06-12 00:00:00,603063.SH,禾望电气,工业,118.6075452,0.764,剔除,-3.428365211115114,6.1224489795918435
2023-06-12 00:00:00,300457.SZ,赢合科技,工业,110.35649991369999,0.599,剔除,-3.6848072562358447,3.1194820482636887
2023-06-12 00:00:00,688388.SH,嘉元科技,材料,110.0972826324,0.556,剔除,-5.419260344196275,4.004758128469477
2023-06-12 00:00:00,601311.SH,骆驼股份,工业,105.58315062,0.571,剔除,-4.1533546325878685,1.903695408734607
2023-06-12 00:00:00,603906.SH,龙蟠科技,材料,99.6234105989,0.475,剔除,-5.519828510182223,1.4857142857143124
2023-06-12 00:00:00,688032.SH,禾迈股份,工业,301.28,,纳入,7.544077079918443,6.903169436475509
2023-06-12 00:00:00,688778.SH,厦钨新能,材料,209.41772719770003,,纳入,-1.1715697681122683,-0.11773940345369827
2023-06-12 00:00:00,688248.SH,南网科技,工业,204.36493,,纳入,-6.485788113695101,6.895626509256769
2023-06-12 00:00:00,001301.SZ,尚太科技,材料,169.73672364,,纳入,-1.96549137284322,0.6471030850263126
2023-06-12 00:00:00,300068.SZ,南都电源,工业,161.38490863380002,,纳入,-2.456874019864075,4.890109890109895
