tradedate,tradecode,tradename,windhy,mv,weight,tradestatus,changepctbefore,changepctafter
2025-06-16 00:00:00,688333.SH,铂力特,工业,161.02265613,1.716,剔除,0.49185888738128014,-4.913837229141782
2025-06-16 00:00:00,600399.SH,抚顺特钢,材料,100.97152,1.074,剔除,1.188157662325251,-0.7968127490039723
2025-06-16 00:00:00,688523.SH,航天环宇,工业,80.60292799999999,0.212,剔除,-2.461841457410152,-3.5035035035035134
2025-06-16 00:00:00,605123.SH,派克新材,工业,79.185177922,0.482,剔除,2.606369463455316,-3.4168564920273314
2025-06-16 00:00:00,600967.SH,内蒙一机,工业,214.76648697539997,,纳入,0.15873015873013596,4.444444444444451
2025-06-16 00:00:00,002171.SZ,楚江新材,材料,139.8424208283,,纳入,0.9803921568627416,-4.90928495197438
2025-06-16 00:00:00,688543.SH,国科军工,工业,99.0653288066,,纳入,3.2696949747641035,4.805876180482693
2025-06-16 00:00:00,002149.SZ,西部材料,材料,88.4156050214,,纳入,-2.791196994095546,-9.24415443175639
2025-06-16 00:00:00,688586.SH,江航装备,工业,80.79572782759999,,纳入,-1.4478764478764283,-0.9737098344693274
2025-05-12 00:00:00,001270.SZ,*ST铖昌,工业,80.22901476310001,0.492,剔除,14.83239394838327,-0.9439050701186891
2024-12-16 00:00:00,601606.SH,长城军工,工业,92.26669816,0.648,剔除,-4.569288389513105,-4.030418250950585
2024-12-16 00:00:00,688270.SH,臻镭科技,信息技术,88.296285,0.908,剔除,-1.71551107934238,-3.889674681753885
2024-12-16 00:00:00,002149.SZ,西部材料,材料,76.1126053166,0.762,剔除,-0.12812299807816174,16.914138153647507
2024-12-16 00:00:00,688311.SH,盟升电子,工业,55.9435422848,0.464,剔除,9.41028858218318,0.19640852974187606
2024-12-16 00:00:00,688239.SH,航宇科技,工业,54.96801883679999,0.569,剔除,-4.7667862634546365,-3.682572614107882
2024-12-16 00:00:00,688563.SH,航材股份,工业,260.82,,纳入,-6.756756756756744,-0.8246005840920834
2024-12-16 00:00:00,688002.SH,睿创微纳,信息技术,214.9547615264,,纳入,-1.3176858142886494,0.3303055326176807
2024-12-16 00:00:00,300726.SZ,宏达电子,信息技术,132.3241421985,,纳入,0.6894390473205947,-1.5225334957368997
2024-12-16 00:00:00,301050.SZ,雷电微力,工业,127.53651112800001,,纳入,-2.3063941496343388,-0.03703017959637567
2024-12-16 00:00:00,603308.SH,应流股份,工业,91.2624976704,,纳入,-2.8901734104046284,-0.965107646622132
2024-12-16 00:00:00,688523.SH,航天环宇,工业,88.943968,,纳入,-2.1047917599641752,-2.878992352676557
2024-06-17 00:00:00,300726.SZ,宏达电子,信息技术,106.00757610299999,0.69,剔除,7.071547420965052,-8.101761252446183
2024-06-17 00:00:00,300593.SZ,新雷能,工业,63.1468217916,0.777,剔除,7.380073800737996,-11.882845188284508
2024-06-17 00:00:00,600391.SH,航发科技,工业,53.5799962641,0.671,剔除,3.0476190476190546,-4.641089108910879
2024-06-17 00:00:00,300696.SZ,爱乐达,工业,47.930512720500005,0.474,剔除,12.139917695473269,8.459422283356254
2024-06-17 00:00:00,688568.SH,中科星图,信息技术,180.1727126775,,纳入,1.0016353229762798,4.002501563477168
2024-06-17 00:00:00,600562.SH,国睿科技,工业,179.945201016,,纳入,3.9454806312769097,-1.620859760394644
2024-06-17 00:00:00,600764.SH,中国海防,工业,144.3288282966,,纳入,-0.44117647058824483,-1.3937282229965153
2024-06-17 00:00:00,000801.SZ,四川九洲,可选消费,107.5992591592,,纳入,1.348747591522148,-2.654295286883668
2024-06-17 00:00:00,002149.SZ,西部材料,材料,73.8179982288,,纳入,-2.2624434389140413,-5.742574257425748
2024-06-17 00:00:00,601606.SH,长城军工,工业,73.1470684,,纳入,-0.19762845849802257,-4.223968565815328
2023-12-11 00:00:00,688375.SH,国博电子,工业,330.16825400000005,,纳入,-1.6209773539928474,0.38083538083537594
2023-12-11 00:00:00,688297.SH,中无人机,工业,281.94750000000005,,纳入,-3.0408542246982084,-1.2381646030589777
2023-12-11 00:00:00,688439.SH,振华风光,信息技术,190.9,,纳入,1.3915445081793099,-4.828595317725759
2023-12-11 00:00:00,688333.SH,铂力特,工业,181.26409319200002,,纳入,5.778941462502329,7.149472124467482
2023-12-11 00:00:00,001270.SZ,*ST铖昌,工业,121.943198596,,纳入,-3.145592440631595,-7.290995749066087
2023-12-11 00:00:00,688270.SH,臻镭科技,信息技术,102.7906362,,纳入,1.9872572815534228,1.108715737603938
2023-12-11 00:00:00,688311.SH,盟升电子,工业,83.7951304332,,纳入,-2.5942515864128546,6.170421155729677
2023-12-11 00:00:00,600391.SH,航发科技,工业,62.7906056034,,纳入,-2.7607361963190247,1.6189962223421395
2023-06-12 00:00:00,302132.SZ,中航成飞,工业,276.53498958190005,,纳入,-0.7631985948649778,3.4197111299915095
2023-06-12 00:00:00,688281.SH,华秦科技,工业,271.31907512099997,,纳入,2.1465968586387385,4.338842975206614
2023-06-12 00:00:00,000519.SZ,中兵红箭,工业,244.53335723919997,,纳入,-3.516483516483526,4.186046511627928
2023-06-12 00:00:00,600879.SH,航天电子,工业,222.7083181596,,纳入,0.4907975460122449,2.631578947368407
2023-06-12 00:00:00,002465.SZ,海格通信,信息技术,222.37929675150002,,纳入,-2.5252525252525304,5.708245243128962
2023-06-12 00:00:00,600435.SH,北方导航,工业,164.1439268336,,纳入,3.1044214487299993,-0.09057971014491129
2023-03-17 00:00:00,002013.SZ,中航机电(退市),工业,416.3510657152,3.202,剔除,0.0,
